country,subnational1,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2012_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023,tc_loss_ha_2024,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e,gfw_forest_carbon_gross_emissions_2023__Mg_CO2e,gfw_forest_carbon_gross_emissions_2024__Mg_CO2e
Indonesia,Kepulauan Riau,10,827637,705552,687029,20169,1725,5552,1781,4547,8122,5443,2697,8718,5242,4808,6963,9411,4808,19505,5996,13253,8178,6470,9126,8963,4495,2917,3485,2732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Kepulauan Riau,15,827637,699851,679385,20169,1722,5546,1780,4543,8113,5439,2694,8715,5241,4804,6956,9400,4795,19430,5958,13199,8119,6411,9061,8911,4463,2893,3436,2695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Kepulauan Riau,20,827637,696882,676414,20169,1722,5539,1778,4540,8108,5437,2692,8713,5238,4802,6952,9393,4784,19365,5932,13154,8078,6359,9004,8869,4442,2877,3411,2676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Kepulauan Riau,25,827637,694238,671852,20169,1720,5534,1777,4537,8101,5434,2690,8709,5236,4800,6949,9386,4776,19308,5907,13123,8046,6327,8960,8838,4424,2865,3386,2657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Kepulauan Riau,30,827637,689780,666857,20169,1719,5529,1775,4533,8092,5433,2688,8706,5234,4797,6945,9375,4763,19231,5869,13058,7993,6266,8888,8779,4391,2845,3343,2623,950861,3032378,1004387,2430997,4393452,3085049,1477674,4805679,2959989,2717646,4023768,5569448,2926094,10628370,3215468,6683777,4153721,3286840,4512761,4743478,2380199,1560701,1863024,1463611
Indonesia,Kepulauan Riau,50,827637,667261,632112,20169,1690,5435,1744,4481,7977,5381,2645,8646,5192,4738,6882,9270,4663,18687,5616,12670,7678,5950,8491,8418,4202,2727,3136,2445,943833,3007955,996062,2416966,4362020,3070990,1465559,4788197,2947623,2700390,4004004,5537290,2896257,10463238,3130610,6546116,4045387,3173103,4370484,4604471,2318947,1522470,1789749,1401447
Indonesia,Kepulauan Riau,75,827637,595343,567141,20169,1544,4935,1606,4187,7255,5099,2403,8267,4918,4387,6484,8735,4191,16508,4669,10927,6513,4867,7063,7090,3455,2289,2519,1948,895512,2833211,947642,2312530,4109536,2968989,1382581,4657323,2848113,2580179,3858401,5338589,2712544,9691413,2776019,5813306,3593011,2743014,3788484,3993609,2036252,1356855,1554077,1204978
Indonesia,Lampung,0,3348719,3348719,3348719,165767,10563,9514,5047,10727,9547,14251,15812,16386,23579,14319,17136,32080,6282,15474,22366,27178,19800,20245,25970,16197,14385,12098,41877,25272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Lampung,10,3348719,1939865,1921706,165767,10422,9418,5010,10613,9415,14148,15697,16271,23348,14198,16905,30715,5316,11873,15078,17332,12566,11236,14451,10191,8318,7575,23636,14277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Lampung,15,3348719,1883304,1844060,165767,10401,9397,5003,10592,9389,14121,15670,16251,23297,14171,16867,30602,5267,11709,14738,16981,12302,10930,13998,9945,8071,7392,22954,13813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
